Terdeteksi: 326 pasal
Range: Pasal 1 - Pasal 326
Missing (0): []

=== DETAIL PASAL ===
Pasal    1 | 0 ayat | 0 huruf | bab: BAB I KETENTUAN UMUM
Pasal    2 | 0 ayat | 0 huruf | bab: BAB II ASAS DAN TUJUAN
Pasal    3 | 0 ayat | 0 huruf | bab: BAB II ASAS DAN TUJUAN
Pasal    4 | 0 ayat | 0 huruf | bab: BAB III RUANG LINGKUP KEBERLAKUAN UNDANG
Pasal    5 | 3 ayat | 9 huruf | bab: BAB IV PEMBINAAN
Pasal    6 | 4 ayat | 12 huruf | bab: BAB IV PEMBINAAN
Pasal    7 | 2 ayat | 5 huruf | bab: BAB V PENYELENGGARAAN
Pasal    8 | 1 ayat | 7 huruf | bab: BAB V PENYELENGGARAAN
Pasal    9 | 0 ayat | 0 huruf | bab: BAB V PENYELENGGARAAN
Pasal   10 | 0 ayat | 0 huruf | bab: BAB V PENYELENGGARAAN
Pasal   11 | 0 ayat | 0 huruf | bab: BAB V PENYELENGGARAAN
Pasal   12 | 0 ayat | 0 huruf | bab: BAB V PENYELENGGARAAN
Pasal   13 | 5 ayat | 0 huruf | bab: BAB V PENYELENGGARAAN
Pasal   14 | 4 ayat | 3 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   15 | 3 ayat | 4 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   16 | 3 ayat | 8 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   17 | 3 ayat | 10 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   18 | 0 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   19 | 5 ayat | 7 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   20 | 3 ayat | 4 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   21 | 5 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   22 | 8 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   23 | 2 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   24 | 2 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   25 | 2 ayat | 9 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   26 | 2 ayat | 4 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   27 | 2 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   28 | 2 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   29 | 4 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   30 | 0 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   31 | 0 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   32 | 0 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   33 | 3 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   34 | 2 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   35 | 0 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   36 | 0 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   37 | 2 ayat | 10 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   38 | 3 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   39 | 4 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   40 | 2 ayat | 8 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   41 | 2 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   42 | 0 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   43 | 4 ayat | 2 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   44 | 0 ayat | 0 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
Pasal   45 | 2 ayat | 11 huruf | bab: BAB VI JARINGAN LALU LINTAS DAN ANGKUTAN
